Gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,brain_region,Subclass,Class,Comparison,CCA,RCCA,RTSS,Count,avg_FC
Podxl2,2.64E-62,-0.293582311,0.991,0.998,9.31E-58,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.74558785
Ppp3ca,1.84E-133,0.50586474,1,1,6.47E-129,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.658419002
Ppp3r1,2.22E-118,0.383411428,1,1,7.81E-114,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.467281587
Prkca,4.43E-103,0.407141502,1,0.991,1.56E-98,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,1,1,1,1.5025167
Ptk2b,2.52E-138,0.67618628,1,1,8.86E-134,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.966364252
Ptprd,1.25E-76,-0.423645932,1,1,4.40E-72,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,1,1,0.654655633
Pvrl3,2.33E-106,0.503881785,0.991,0.848,8.22E-102,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,1.65513369
Rab3a,2.02E-101,-0.253468275,1,1,7.13E-97,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.776104366
Rasgrf2,8.86E-164,0.712776448,0.991,0.583,3.12E-159,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,2.039646377
Rgs4,2.21E-40,-0.416504168,0.997,1,7.79E-36,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.659347765
Robo2,1.05E-49,-0.250236407,0.991,0.998,3.71E-45,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.778616691
S100b,1.29E-80,-0.694788137,0.117,0.673,4.53E-76,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.499180195
Snap47,8.79E-77,-0.260521182,1,1,3.10E-72,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.770649832
Snca,4.52E-159,-0.746164791,1,1,1.59E-154,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.474181656
Sparcl1,1.78E-93,0.685910343,1,0.965,6.27E-89,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,1.985578571
Stx1a,2.24E-83,-0.32009258,1,1,7.89E-79,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.726081813
Stxbp1,2.63E-105,-0.436268254,1,1,9.26E-101,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,1,1,0.646444291
Syn1,8.32E-95,-0.443087745,1,1,2.93E-90,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.642050868
Syngr1,1.11E-120,-0.4651018,1,1,3.91E-116,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.628071164
Syp,5.04E-69,-0.37754708,1,1,1.77E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.685540926
Syt1,2.29E-130,-0.457770861,1,1,8.07E-126,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.632692434
Tenm1,3.04E-104,-0.421093013,0.689,0.977,1.07E-99,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.656329051
Vamp2,1.15E-95,-0.33178963,1,1,4.06E-91,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.717638277
Vstm2l,3.96E-96,-0.33995322,1,0.999,1.39E-91,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.71180362
Ywhag,5.02E-69,-0.287941718,1,1,1.77E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.749805291
Zdhhc2,3.63E-58,-0.374832958,0.951,0.998,1.28E-53,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,1,1,1,0.687404095
Abat,2.50E-74,-0.433157306,0.674,0.995,8.79E-70,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,0.648458477
Abhd6,1.19E-86,0.571688738,1,0.97,4.20E-82,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.771255714
Adcy1,4.01E-26,-0.306622754,0.997,1,1.41E-21,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.735928175
Adcyap1,1.78E-70,-0.623972025,0.535,0.995,6.28E-66,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.535811947
Adk,1.80E-42,0.307708504,1,0.962,6.33E-38,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.360304408
Akap5,3.01E-85,0.521938606,1,0.995,1.06E-80,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.685291601
Akap7,1.83E-44,-0.35059253,0.914,0.995,6.44E-40,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.704270665
Alcam,6.52E-42,0.434633314,1,0.853,2.30E-37,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.544396646
Apba2,1.18E-28,0.270140602,1,0.997,4.15E-24,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.310148647
Arc,3.33E-36,0.591949305,0.865,0.739,1.17E-31,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.807508369
Atp1b2,1.10E-88,0.316357818,0.886,0.168,3.89E-84,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.372121137
Atp2a2,1.58E-86,-0.59501096,1,1,5.55E-82,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.551556521
Baiap2,3.27E-100,0.780676845,1,1,1.15E-95,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,2.182949284
Bcl6,7.87E-72,-0.287512907,0.603,0.984,2.77E-67,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,0.750126885
Bdnf,8.58E-14,0.530121642,0.923,0.891,3.02E-09,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.699138983
Cacnb3,6.28E-79,0.437780101,1,0.997,2.21E-74,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.549264188
Cacng3,8.49E-105,0.953123752,1,1,2.99E-100,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,2.593799404
Cadm1,7.37E-65,0.526196717,1,0.989,2.60E-60,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.69248306
Calb1,1.22E-120,2.750845368,1,0.296,4.29E-116,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,15.65586126
Camk2d,4.23E-113,0.804969746,0.96,0.147,1.49E-108,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,2.236628831
Car11,5.64E-61,0.328262045,1,1,1.99E-56,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.388552788
Cbfb,4.63E-87,0.36442575,0.803,0.062,1.63E-82,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.43968703
Cd200,2.71E-45,0.424555895,1,0.981,9.54E-41,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.528911272
Cd34,8.89E-37,0.448107996,0.975,0.97,3.13E-32,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.565347738
Cdh12,3.09E-26,0.332282211,0.938,0.932,1.09E-21,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.394146236
Cdh13,3.54E-47,-0.661703999,0.631,0.924,1.25E-42,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,0.51597137
Cdk5r1,4.44E-40,-0.327982977,1,1,1.56E-35,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,0.720375283
Celsr2,7.54E-48,-0.315182094,0.997,1,2.65E-43,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,1,,1,0.729655996
Chrna4,1.84E-94,-0.323985206,0.271,0.962,6.50E-90,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.723260942
Cnr1,6.16E-60,-0.419753651,1,1,2.17E-55,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,1,1,0.657208703
Coro1a,6.08E-42,0.319386654,1,1,2.14E-37,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.376283368
Cpeb3,1.11E-53,-0.254669493,0.923,0.981,3.91E-49,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.775172656
Cplx1,4.91E-91,-0.91424177,1,1,1.73E-86,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.400820425
Cplx2,1.34E-29,0.268563562,1,0.997,4.71E-25,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.308084119
Ctnnd2,9.83E-57,-0.335723373,1,1,3.46E-52,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,1,1,0.714820817
Cx3cl1,2.47E-79,0.64920313,1,1,8.70E-75,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,1,,1,1.914015
Cyfip2,2.81E-19,0.253292542,1,1,9.90E-15,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.288260092
Cyld,4.78E-46,0.346424426,1,0.992,1.68E-41,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.414002628
Cyp46a1,2.47E-101,0.783939927,1,1,8.70E-97,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,2.190084061
Dbn1,1.15E-68,0.469561964,1,0.997,4.06E-64,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.599293492
Dgkb,2.61E-96,0.916063901,1,0.995,9.20E-92,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,2.499432987
Dgkz,2.94E-26,0.290444116,1,1,1.03E-21,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.337021149
Dmtn,2.46E-98,0.616281195,1,1,8.65E-94,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.852027889
Dusp3,8.55E-68,-0.400486636,1,1,3.01E-63,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,0.669993924
Efr3a,1.04E-101,-1.002718508,0.994,1,3.66E-97,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,0.366880716
Egln1,4.69E-45,0.304240028,0.975,0.872,1.65E-40,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.355594398
Egr1,5.99E-40,0.729146905,0.988,0.984,2.11E-35,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,2.073311122
Egr3,2.36E-30,0.340905249,0.991,0.962,8.31E-26,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.406219994
Elmo2,1.79E-31,0.334313491,1,0.992,6.32E-27,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.396981016
Fabp5,3.09E-74,-0.429781662,0.997,1,1.09E-69,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.650651141
Fez1,3.57E-45,0.311414781,1,1,1.26E-40,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.365355427
Flot2,6.07E-27,0.254917329,0.988,0.992,2.14E-22,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.290354942
Gipc1,2.04E-48,0.348633176,0.997,0.986,7.19E-44,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.417129258
Gria4,7.04E-73,0.546505941,0.997,0.872,2.48E-68,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.727207497
Grm8,4.14E-43,-0.264295196,0.643,0.967,1.46E-38,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.76774687
Gsk3b,2.33E-62,-0.327871273,1,1,8.21E-58,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.720455756
Gucy1a3,8.51E-26,0.275098213,0.994,0.954,3.00E-21,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.316659982
H2-DMa,4.89E-42,0.288573863,0.966,0.875,1.72E-37,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.334522918
H2-T23,8.53E-32,0.260992241,0.88,0.679,3.00E-27,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.298217593
Hnrnpk,1.41E-59,0.364454619,1,1,4.97E-55,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.439728593
Hsp90aa1,8.42E-91,-0.363657255,1,1,2.96E-86,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,0.695129406
Icam5,1.52E-36,0.28862086,1,1,5.34E-32,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,1.334585638
Itpka,3.28E-107,0.890887669,1,1,1.15E-102,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,2.4372922
Kcnh1,2.69E-54,0.297972485,0.951,0.688,9.49E-50,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.347124721
Kcnn2,3.22E-107,-0.683073254,0.898,1,1.13E-102,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.50506242
Kctd13,1.18E-48,0.325651303,1,0.997,4.17E-44,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.384932363
Kifap3,1.09E-49,-0.306669879,1,1,3.83E-45,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,0.735893495
Lrrc4c,2.18E-48,0.414594247,1,1,7.67E-44,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,1,1,1.513756405
Lrrtm1,1.44E-42,0.303989214,0.991,0.986,5.07E-38,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.355254438
Map2k1,4.17E-82,0.580688931,0.997,1,1.47E-77,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.787269312
Mapk1,1.69E-94,0.615001476,1,1,5.96E-90,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.84965933
Mapk14,3.35E-29,0.251921571,0.978,0.946,1.18E-24,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,1,,1,1.286495135
Mef2c,2.63E-48,0.323660841,1,1,9.27E-44,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.382178449
Mgll,1.79E-68,0.413370004,0.997,0.948,6.30E-64,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.511904333
Ncdn,1.60E-22,0.362769204,1,1,5.63E-18,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.437304097
Neto1,4.01E-63,-0.503664697,1,1,1.41E-58,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,0.604311977
Neu1,4.35E-63,0.385059259,0.994,0.978,1.53E-58,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.469701412
Nrcam,8.98E-57,-0.407424293,1,1,3.16E-52,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,,1,0.665361822
Nrgn,3.85E-43,0.485254143,1,1,1.36E-38,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,1.624587834
Nrn1,7.19E-110,1.157759074,1,1,2.53E-105,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,,,1,1,3.182792875
Nrxn1,1.15E-84,0.485571375,1,1,4.05E-80,ALM,L2/3 IT vs L5 PT,Glut,Glut ALM L2/3 IT vs L5 PT,1,,1,1,1.625103287
