Gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,brain_region,Subclass,Class,Comparison,Count,CCA,RCCA,RTSS,,,GO Cell-Cell Adhesion,GO Regulation of Cell-Cell Adhesion,GO Regulation of trans-synaptic signaling
Alcam,4.26E-107,0.613416549,1,0.825,1.50E-102,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,,,,,Cdh9,Egr3,Cacnb4
Aldoc,2.07E-40,-0.345846332,0.283,0.642,7.28E-36,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cdk5r1,Epha7,Cacng2
Ankrd6,1.86E-104,0.323038804,0.917,0.454,6.56E-100,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Celsr2,Ephb6,Cacng3
Anks1b,4.86E-96,0.323207784,1,1,1.71E-91,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Clstn1,Flot1,Calb1
Ano3,2.86E-44,0.268849174,1,1,1.01E-39,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Clstn2,Flot2,Camk2a
Ap1s1,6.61E-72,0.300371471,1,1,2.33E-67,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cnr1,Fut9,Camk2d
Ap2s1,2.07E-99,-0.309488522,1,1,7.29E-95,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cntn6,Gcnt2,Cckbr
Ap3m2,1.21E-103,-0.531809912,0.985,0.998,4.25E-99,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ctnnb1,H2-DMa,Cdh11
Apbb1,3.19E-39,-0.27338492,1,1,1.12E-34,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ctnnd2,H2-T23,Cdk5
Arap2,4.12E-61,-0.314268934,0.966,0.998,1.45E-56,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cx3cl1,Hsp90aa1,Celf4
Arf4,5.01E-58,0.259847834,1,1,1.76E-53,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cxcl12,Hsph1,Cfl1
Arhgap5,1.43E-51,0.329751202,1,0.994,5.04E-47,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cyfip2,Igfbp2,Chrna4
Arhgdig,7.54E-68,-0.28871012,1,1,2.65E-63,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Dab1,Il12a,Chrna5
Arhgef2,3.79E-94,0.285030579,1,0.999,1.33E-89,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Dlg1,Kifap3,Chrna6
Arl15,6.85E-147,0.592713353,1,0.943,2.41E-142,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Dnajb6,Magi2,Clstn1
Arl6ip5,1.94E-106,0.395198807,1,1,6.85E-102,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Dscaml1,Map2k1,Clstn2
Arpc2,1.97E-78,0.280396716,1,1,6.95E-74,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Efna5,Mapk14,Cnr1
Arpc5,5.22E-97,0.428195025,1,0.999,1.84E-92,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Efr3a,Mbp,Cpeb3
Arpp21,7.68E-36,0.27303556,1,1,2.70E-31,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Elmo2,Myadm,Cplx1
Asph,5.09E-54,-0.307698088,1,1,1.79E-49,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Emb,Ndfip1,Cplx2
Asphd2,8.82E-61,0.275355556,0.997,0.998,3.10E-56,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Fat3,Nr4a3,Cplx3
Atp11b,2.36E-66,-0.379633169,0.911,0.983,8.30E-62,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Flrt3,Pcdh8,Crhr1
Atp1a1,3.30E-52,0.303183508,1,1,1.16E-47,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Gnas,Peli1,Cspg5
Atp1b2,2.40E-101,-0.430218198,0.886,0.99,8.45E-97,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,,,,,Gpc6,Pik3r1,Ctnnd2
Atp1b3,2.08E-84,-0.379161985,1,0.998,7.31E-80,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Icam5,Prdx2,Cux2
Atp2b1,1.58E-162,0.701540535,1,1,5.56E-158,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Igfn1,Prkar1a,Cyp46a1
Atp2b4,1.50E-97,0.436287636,0.994,0.781,5.29E-93,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Igsf21,Prkca,Dbi
Atp6ap2,2.03E-87,-0.382689756,1,1,7.16E-83,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Igsf9b,Prkcz,Dbn1
Atp6v0c,1.69E-90,-0.251244381,1,1,5.96E-86,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Il1rapl1,Prnp,Dgkb
Atxn10,7.39E-108,-0.392956089,1,1,2.60E-103,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Itgav,Ptk2,Dgkz
B230216N24Rik,1.03E-95,0.365849972,0.997,0.861,3.62E-91,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Jup,Rap1gap,Dlgap1
B3galnt1,6.96E-65,-0.306966978,0.997,1,2.45E-60,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Kirrel3,Rasgrp1,Dnm1
B3galt2,9.46E-43,-0.259685082,0.868,0.965,3.33E-38,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Lmo7,Selk,Dtnbp1
B3gnt2,1.03E-67,0.31042256,0.957,0.728,3.63E-63,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Lrfn5,Serpine2,Egln1
Baiap2,1.13E-90,0.415801344,1,1,3.97E-86,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Lrrc4c,Spint2,Egr1
Basp1,2.77E-124,-0.371110378,1,1,9.77E-120,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Negr1,Tenm3,Epha4
Bcl11a,6.01E-73,0.345665357,1,0.974,2.12E-68,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Nlgn1,Thy1,Ephb1
Bhlhe40,9.97E-61,0.495144875,0.991,0.988,3.51E-56,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Npnt,Tnfrsf21,Fabp5
Blnk,2.87E-36,-0.2557896,0.326,0.689,1.01E-31,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Nrcam,Tnr,Fez1
Bnip3,2.15E-74,-0.26679091,1,1,7.58E-70,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Nrxn1,Wnt4,Flot1
Bok,3.11E-129,-0.603954229,0.646,0.995,1.09E-124,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ntng1,Xbp1,Fmr1
Btbd10,2.82E-62,0.342386255,1,0.998,9.94E-58,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Pcdh10,Zdhhc2,Gipc1
Btbd3,5.54E-99,0.4308629,1,0.854,1.95E-94,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Pcdh17,,Glra3
Bzw2,2.14E-60,0.267363188,0.982,0.955,7.55E-56,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Pcdh8,,Glul
Cabp1,1.62E-60,0.255631608,1,0.994,5.71E-56,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Phip,,Gnai1
Cacna1e,8.31E-48,0.297272721,0.997,0.994,2.93E-43,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Pip5k1c,,Gria1
Cacnb4,7.59E-51,-0.320831801,1,1,2.67E-46,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Pnn,,Gria2
Cacng3,9.26E-146,0.554451986,1,1,3.26E-141,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Podxl2,,Gria4
Cadps2,1.14E-59,-0.48274278,0.505,0.835,4.02E-55,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ppia,,Grik2
Calb1,1.76E-193,2.06568399,1,0.498,6.18E-189,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Ptprd,,Grik3
Caln1,1.10E-78,0.349744618,0.994,0.869,3.87E-74,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ptprf,,Grin2b
Camk4,1.09E-93,-0.565458817,0.991,1,3.85E-89,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ptprm,,Grm2
Camkk1,1.44E-62,0.396915368,0.985,0.945,5.06E-58,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ptprs,,Grm3
Car12,6.03E-111,0.26137165,0.671,0.164,2.12E-106,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ptprt,,Grm5
Cav2,4.59E-61,-0.397749462,0.948,0.993,1.61E-56,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Pvrl3,,Grm7
Cbln2,2.23E-62,0.281856365,0.942,0.521,7.84E-58,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Robo1,,Grm8
Ccdc136,4.62E-86,-0.40683879,0.951,0.998,1.63E-81,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Robo2,,Gsk3b
Ccnd2,2.22E-33,0.271017792,0.994,0.901,7.81E-29,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Serpinb8,,Gucy1a3
Cd81,6.76E-69,-0.297038603,1,1,2.38E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,1,,,,Sparcl1,,Gucy1b3
Cdh10,1.89E-72,-0.365855007,0.96,0.997,6.67E-68,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,,,,,Stxbp1,,Hnrnpk
Cdh13,5.25E-52,0.394984984,0.631,0.309,1.85E-47,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,,,,,Tenm1,,Homer1
Cdh8,1.70E-39,-0.321063903,0.905,0.941,5.97E-35,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,,,,,Tenm2,,Hrh1
Cdk17,1.42E-40,0.255815749,1,1,5.01E-36,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Tenm3,,Htr2a
Cdk18,2.43E-110,-0.372682382,0.243,0.853,8.55E-106,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Tenm4,,Itpka
Cdkn1a,3.58E-53,-0.346387815,0.742,0.975,1.26E-48,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Thy1,,Kalrn
Celf4,2.47E-96,-0.410458851,1,1,8.68E-92,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Tmem47,,Kcnh1
Cfl1,1.62E-88,-0.283812994,1,1,5.72E-84,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Tnr,,Kcnn2
Chchd10,1.13E-47,0.256368249,1,1,3.97E-43,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Ttyh1,,Kctd13
Chga,6.84E-95,-0.47341882,0.985,0.999,2.41E-90,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Tyro3,,Lgi1
Chn1,4.10E-145,0.432027932,1,1,1.44E-140,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Unc5d,,Lgmn
Chn2,3.73E-78,-0.324886429,0.215,0.76,1.31E-73,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Vmp1,,Lrrc4c
Chst1,8.64E-87,0.44241228,1,1,3.04E-82,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Vstm2l,,Lrrk2
Cib2,1.88E-59,-0.253929199,0.938,0.987,6.61E-55,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Lrrtm1
Cinp,1.78E-58,0.297671423,1,0.998,6.26E-54,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Lrrtm2
Clip3,1.31E-79,-0.337265882,0.997,1,4.61E-75,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Map1a
Cnih3,5.30E-178,-1.09207365,0.477,0.998,1.87E-173,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Mapk1
Cnr1,5.74E-80,-0.475464149,1,0.995,2.02E-75,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,,1,,,,,Mapt
Col25a1,4.15E-55,-0.330279551,0.766,0.96,1.46E-50,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Mctp1
Cplx2,2.49E-164,0.784578798,1,0.823,8.76E-160,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,,,Mef2c
Cpne4,1.44E-124,-0.619981583,0.545,0.971,5.07E-120,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Mgll
Cpne6,2.71E-71,0.503839714,0.997,0.968,9.54E-67,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Myo5b
Crip2,1.03E-38,0.253264689,1,1,3.62E-34,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Ncdn
Crtac1,7.46E-89,0.362069527,0.966,0.611,2.63E-84,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Neto1
Crym,1.54E-154,-1.184068569,0.578,0.985,5.41E-150,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Neu1
Cspg5,7.48E-87,-0.487455983,0.997,1,2.63E-82,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,,,Nlgn1
Ctsb,9.84E-87,0.374064446,1,1,3.47E-82,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Nr3c1
Cux1,1.33E-83,0.291959999,0.991,0.782,4.68E-79,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Nr3c2
Cx3cl1,1.76E-33,0.271743835,1,1,6.20E-29,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,1,,,,,,Nrgn
Cyld,1.56E-68,0.335684227,1,0.978,5.48E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,1,,,,,,Nrn1
Cyp46a1,2.36E-96,0.461886753,1,1,8.30E-92,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,,,Nrxn1
D630045J12Rik,1.77E-61,0.314457447,1,0.99,6.22E-57,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Nrxn3
Dab1,6.83E-154,0.623512959,1,0.885,2.41E-149,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,,,,,,,Nsg1
Dcaf7,1.65E-50,0.269140786,1,0.98,5.81E-46,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Nsmf
Dclk1,5.53E-76,-0.404096639,1,1,1.95E-71,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Ntng1
Dclk3,1.10E-56,0.283598658,0.963,0.711,3.87E-52,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Ntrk2
Ddit4l,2.25E-57,0.383050395,0.834,0.403,7.94E-53,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Pacsin2
Deptor,1.80E-101,-0.465397419,0.295,0.868,6.34E-97,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Paip2
Derl1,2.74E-50,0.251729682,0.994,0.96,9.64E-46,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Pak1
Dgkb,3.63E-128,0.811524491,1,0.93,1.28E-123,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,,,Pcdh17
Diras2,1.23E-42,-0.292303537,0.969,0.998,4.34E-38,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Pcdh8
Dkk3,1.03E-24,-0.264285568,1,1,3.63E-20,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Pde4a
Dkkl1,4.78E-150,-1.02777284,0.452,0.967,1.68E-145,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Pfn2
Dmkn,2.43E-125,0.34355713,0.502,0.067,8.57E-121,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Pink1
Dnaja4,4.30E-44,0.264386345,0.978,0.935,1.51E-39,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Plcb4
Dnajb1,3.42E-80,0.391012422,0.994,0.983,1.20E-75,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Plk2
Dnajc6,1.11E-75,-0.295510867,0.997,1,3.92E-71,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Pnkd
Dnm1,2.67E-51,-0.296114415,1,1,9.40E-47,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,,,Ppfia2
Dnm3,3.95E-69,-0.379543401,0.982,1,1.39E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Ppp1r9a
Dok5,3.32E-98,0.3967363,0.997,0.883,1.17E-93,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Ppp3ca
Dpy19l1,9.15E-57,-0.331564928,0.892,0.99,3.22E-52,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Ppp3r1
Dtl,4.53E-47,-0.259100378,0.735,0.947,1.59E-42,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prepl
Dusp18,5.48E-54,0.25791399,0.951,0.783,1.93E-49,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prkar1b
Egln1,1.06E-88,0.331471166,0.975,0.802,3.72E-84,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,,,Prkar2b
Eid1,7.40E-90,-0.335238558,1,1,2.60E-85,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prkca
Elavl2,6.67E-141,-0.521993775,0.594,0.995,2.35E-136,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prkcb
Elavl4,1.64E-90,-0.470825771,0.997,1,5.77E-86,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prkce
Elmod1,4.62E-68,0.326802313,1,1,1.63E-63,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prkcg
Enc1,3.19E-134,0.665158611,1,0.988,1.12E-129,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prkcz
Eno1,2.71E-66,-0.281936851,1,1,9.53E-62,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prnp
Enpp2,2.17E-121,0.964319301,1,0.995,7.64E-117,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Prrt2
Epdr1,2.15E-60,0.302581757,1,1,7.59E-56,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,,,Pten
Epha4,3.52E-31,-0.258607176,1,1,1.24E-26,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,,,Ptgs2
Ephb6,2.77E-54,-0.328408927,0.957,0.997,9.75E-50,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,1,,,,,,Ptk2
